"COUNTRY","Country","FLOW","Flow","TIME","Time","Value","Flag Codes","Flags"
"WLD","World","GDP","GDP (billion USD 2015 prices and exchange rates)","1960","1960",,"L","Missing value; data exist but were not collected"
"WLD","World","GDP","GDP (billion USD 2015 prices and exchange rates)","1961","1961",,"L","Missing value; data exist but were not collected"
"WLD","World","GDP","GDP (billion USD 2015 prices and exchange rates)","1962","1962",,"L","Missing value; data exist but were not collected"
"WLD","World","GDP","GDP (billion USD 2015 prices and exchange rates)","1963","1963",,"L","Missing value; data exist but were not collected"
"WLD","World","GDP","GDP (billion USD 2015 prices and exchange rates)","1964","1964",,"L","Missing value; data exist but were not collected"
"WLD","World","GDP","GDP (billion USD 2015 prices and exchange rates)","1965","1965",,"L","Missing value; data exist but were not collected"
"WLD","World","GDP","GDP (billion USD 2015 prices and exchange rates)","1966","1966",,"L","Missing value; data exist but were not collected"
"WLD","World","GDP","GDP (billion USD 2015 prices and exchange rates)","1967","1967",,"L","Missing value; data exist but were not collected"
"WLD","World","GDP","GDP (billion USD 2015 prices and exchange rates)","1968","1968",,"L","Missing value; data exist but were not collected"
"WLD","World","GDP","GDP (billion USD 2015 prices and exchange rates)","1969","1969",,"L","Missing value; data exist but were not collected"
"WLD","World","GDP","GDP (billion USD 2015 prices and exchange rates)","1970","1970",,"L","Missing value; data exist but were not collected"
"WLD","World","GDP","GDP (billion USD 2015 prices and exchange rates)","1971","1971",19286.315,,
"WLD","World","GDP","GDP (billion USD 2015 prices and exchange rates)","1972","1972",20329.299,,
"WLD","World","GDP","GDP (billion USD 2015 prices and exchange rates)","1973","1973",21665.339,,
"WLD","World","GDP","GDP (billion USD 2015 prices and exchange rates)","1974","1974",22132.947,,
"WLD","World","GDP","GDP (billion USD 2015 prices and exchange rates)","1975","1975",22385.168,,
"WLD","World","GDP","GDP (billion USD 2015 prices and exchange rates)","1976","1976",23560.775,,
"WLD","World","GDP","GDP (billion USD 2015 prices and exchange rates)","1977","1977",24544.535,,
"WLD","World","GDP","GDP (billion USD 2015 prices and exchange rates)","1978","1978",25543.282,,
"WLD","World","GDP","GDP (billion USD 2015 prices and exchange rates)","1979","1979",26578.831,,
"WLD","World","GDP","GDP (billion USD 2015 prices and exchange rates)","1980","1980",27005.84,,
"WLD","World","GDP","GDP (billion USD 2015 prices and exchange rates)","1981","1981",27491.322,,
"WLD","World","GDP","GDP (billion USD 2015 prices and exchange rates)","1982","1982",27540.181,,
"WLD","World","GDP","GDP (billion USD 2015 prices and exchange rates)","1983","1983",28275.779,,
"WLD","World","GDP","GDP (billion USD 2015 prices and exchange rates)","1984","1984",29520.055,,
"WLD","World","GDP","GDP (billion USD 2015 prices and exchange rates)","1985","1985",30523.44,,
"WLD","World","GDP","GDP (billion USD 2015 prices and exchange rates)","1986","1986",31599.45,,
"WLD","World","GDP","GDP (billion USD 2015 prices and exchange rates)","1987","1987",32729.212,,
"WLD","World","GDP","GDP (billion USD 2015 prices and exchange rates)","1988","1988",34135.499,,
"WLD","World","GDP","GDP (billion USD 2015 prices and exchange rates)","1989","1989",35302.711,,
"WLD","World","GDP","GDP (billion USD 2015 prices and exchange rates)","1990","1990",36113.928,,
